term,coef,scenario,draw
post_g1,-0.009959386984569043,1,1
post_g2,0.0011156630982138778,1,1
post_g3,0.00020642392891018818,1,1
post_g4,0.02406538747044886,1,1
post_g5,0.0018405039629637646,1,1
post_g6,0.012225443069766261,1,1
post_g1,-0.014932143681027302,2,1
post_g2,0.011245960019788271,2,1
post_g3,0.004703627148219039,2,1
post_g4,0.02404516741293787,2,1
post_g5,0.0019603759921201485,2,1
post_g6,-0.021341698888762625,2,1
post_g1,-0.012869118367173613,1,2
post_g2,-0.006595591301649608,1,2
post_g3,-0.003450143325092158,1,2
post_g4,0.023795998621292187,1,2
post_g5,0.0026014170216359074,1,2
post_g6,0.028943316342413254,1,2
post_g1,-0.013295580842491508,2,2
post_g2,0.0026908502021699117,2,2
post_g3,0.0022465346237467093,2,2
post_g4,0.024118308145765023,2,2
post_g5,0.003226672328397545,2,2
post_g6,-0.012766427176575269,2,2
post_g1,-0.01911080626949797,1,3
post_g2,-0.003229027179695013,1,3
post_g3,-0.003643076581808924,1,3
post_g4,0.024662479509383183,1,3
post_g5,0.014323837989820717,1,3
post_g6,0.016693718640368553,1,3
post_g1,-0.020917767411013373,2,3
post_g2,0.004669383816406119,2,3
post_g3,0.0030470561064283993,2,3
post_g4,0.024269806347424698,2,3
post_g5,0.015392927482305602,2,3
post_g6,-0.020748840237774006,2,3
post_g1,-0.01634599111853615,1,4
post_g2,-0.012395657395708661,1,4
post_g3,-0.007933314793643538,1,4
post_g4,0.02576093869565424,1,4
post_g5,0.007359671812989679,1,4
post_g6,0.034470569665719805,1,4
post_g1,-0.020268940309248085,2,4
post_g2,-0.004007006592257341,2,4
post_g3,-0.0013737396138555863,2,4
post_g4,0.025548266241528027,2,4
post_g5,0.00820728830825819,2,4
post_g6,-0.0021582416029625687,2,4
post_g1,-0.014940267419122324,1,5
post_g2,-0.001587136954031657,1,5
post_g3,0.0024091930778585703,1,5
post_g4,0.0228952232141343,1,5
post_g5,0.0003028111938265715,1,5
post_g6,0.01889556320690879,1,5
post_g1,-0.0174135531856432,2,5
post_g2,0.009974302453606337,2,5
post_g3,0.007272517744720822,2,5
post_g4,0.0229151043519477,2,5
post_g5,-0.0011979389056138647,2,5
post_g6,-0.016171968022151616,2,5
post_g1,-0.015795111211511538,1,6
post_g2,-0.023146357634811134,1,6
post_g3,0.0009227952467892302,1,6
post_g4,0.019895516230767504,1,6
post_g5,0.02125174744723004,1,6
post_g6,0.02337073397291055,1,6
post_g1,-0.015924046990383606,2,6
post_g2,-0.016338534691137344,2,6
post_g3,0.00619318510914873,2,6
post_g4,0.01982920270171049,2,6
post_g5,0.020101120653037506,2,6
post_g6,-0.008800637146119221,2,6
post_g1,-0.016015374866927615,1,7
post_g2,-0.01915846210185896,1,7
post_g3,-0.002563484420665114,1,7
post_g4,0.02685749756039947,1,7
post_g5,0.00672634188278101,1,7
post_g6,0.03795920493261705,1,7
post_g1,-0.01875959202365066,2,7
post_g2,-0.00876698034742555,2,7
post_g3,0.005288527223417782,2,7
post_g4,0.026438654874647805,2,7
post_g5,0.00487784287055644,2,7
post_g6,-0.002641644504126899,2,7
post_g1,-0.009854207063519034,1,8
post_g2,0.0016859226011067168,1,8
post_g3,-0.0027945437949327043,1,8
post_g4,0.02059339636308257,1,8
post_g5,0.005040589719201238,1,8
post_g6,0.016983970545696926,1,8
post_g1,-0.011856710344236819,2,8
post_g2,0.01013220010040586,2,8
post_g3,0.00361559005765808,2,8
post_g4,0.020724238761070404,2,8
post_g5,0.003345372137973387,2,8
post_g6,-0.01992067061893938,2,8
post_g1,-0.010633891410817057,1,9
post_g2,0.01137663901711997,1,9
post_g3,-0.0026140719294946357,1,9
post_g4,0.020457129093646984,1,9
