post_coef,scenario,draw
2.718382126157902e-10,1,1
2.7183822344193006e-10,2,1
2.718382316020337e-10,1,2
2.71838227598109e-10,2,2
2.7183820732606945e-10,1,3
2.7183821167198374e-10,2,3
2.718382233383803e-10,1,4
2.7183819895992503e-10,2,4
2.718382171923092e-10,1,5
2.7183822194458757e-10,2,5
2.718382075225811e-10,1,6
2.718382193742661e-10,2,6
2.7183821590481914e-10,1,7
2.7183822047625595e-10,2,7
2.718382224316315e-10,1,8
2.7183820801767185e-10,2,8
2.718382109543351e-10,1,9
2.7183821835888534e-10,2,9
2.718382294090654e-10,1,10
2.7183820661307946e-10,2,10
2.71838220683779e-10,1,11
2.718382163380765e-10,2,11
2.7183822469426827e-10,1,12
2.71838218332892e-10,2,12
2.7183820656543386e-10,1,13
2.718382299198263e-10,2,13
2.718382224396783e-10,1,14
2.718382210007811e-10,2,14
2.7183821248788823e-10,1,15
2.7183821427872764e-10,2,15
2.7183818927833844e-10,1,16
2.7183820809221075e-10,2,16
2.7183820704104286e-10,1,17
2.7183821293660393e-10,2,17
2.7183821588152573e-10,1,18
2.718382178864527e-10,2,18
2.718382237064161e-10,1,19
2.718382207462477e-10,2,19
2.7183821629170144e-10,1,20
2.7183821161049444e-10,2,20
2.7183821777676195e-10,1,21
2.7183822381610686e-10,2,21
2.7183822538608243e-10,1,22
2.718382215119655e-10,2,22
2.718382329894737e-10,1,23
2.7183822174542895e-10,2,23
2.718381864670361e-10,1,24
2.7183821846878787e-10,2,24
2.718381991746479e-10,1,25
2.718382319692225e-10,2,25
2.7183821865238226e-10,1,26
2.7183821958291413e-10,2,26
2.718381993139848e-10,1,27
2.718382238199185e-10,2,27
2.718382215342001e-10,1,28
2.718382239826547e-10,2,28
2.718382195912124e-10,1,29
2.718382148338469e-10,2,29
2.718382211975045e-10,1,30
2.718382231062668e-10,2,30
2.71838218832165e-10,1,31
2.718382191400615e-10,2,31
2.718382318485203e-10,1,32
2.718382170154911e-10,2,32
2.718382204830322e-10,1,33
2.7183823656988195e-10,2,33
2.718382298548165e-10,1,34
2.718382182564473e-10,2,34
2.718382166646077e-10,1,35
2.718382152479451e-10,2,35
2.7183822270056447e-10,1,36
2.718382209014665e-10,2,36
2.7183822354442105e-10,1,37
2.7183821516292415e-10,2,37
2.718382281520685e-10,1,38
2.718382018982823e-10,2,38
2.7183820480614643e-10,1,39
2.718382205901819e-10,2,39
2.7183820586070245e-10,1,40
2.718382548649466e-10,2,40
2.718382777483887e-10,1,41
2.71838230786341e-10,2,41
2.7183820121557377e-10,1,42
2.7183821978423004e-10,2,42
2.7183821657905736e-10,1,43
2.718382178165725e-10,2,43
2.7183824972260956e-10,1,44
2.7183821518018245e-10,2,44
2.718382209785465e-10,1,45
2.718382139634196e-10,2,45
2.7183820749801714e-10,1,46
2.718382241816016e-10,2,46
2.7183822025221574e-10,1,47
2.718382258805247e-10,2,47
2.71838235954089e-10,1,48
2.718382219915979e-10,2,48
2.7183821920401247e-10,1,49
2.718382091497314e-10,2,49
2.7183822351964533e-10,1,50
2.7183823923125947e-10,2,50
2.718382155490653e-10,1,51
2.7183821906774604e-10,2,51
2.7183821787925294e-10,1,52
2.718382193511315e-10,2,52
2.7183822352472753e-10,1,53
2.7183821298933173e-10,2,53
2.718382285781261e-10,1,54
2.718381917664977e-10,2,54
2.7183821792478096e-10,1,55
2.718382202391529e-10,2,55
2.7183822151980054e-10,1,56
2.7183821010010235e-10,2,56
2.718382206194045e-10,1,57
2.718381999037315e-10,2,57
2.718382234129192e-10,1,58
2.718382110212507e-10,2,58
2.71838222971615e-10,1,59
2.7183821782652514e-10,2,59
2.7183821403880555e-10,1,60
2.718382144432638e-10,2,60
2.718382233311805e-10,1,61
2.718382198106171e-10,2,61
2.7183822233210514e-10,1,62
2.7183821514968926e-10,2,62
2.7183821957215416e-10,1,63
2.7183821914683774e-10,2,63
2.718382335349629e-10,1,64
2.718382210225922e-10,2,64
2.718382118310142e-10,1,65
2.71838212359351e-10,2,65
2.7183821397400753e-10,1,66
2.7183821421154734e-10,2,66
2.718382276917061e-10,1,67
2.7183820919716523e-10,2,67
2.7183821751418174e-10,1,68
2.718382126426835e-10,2,68
2.718382361726235e-10,1,69
2.7183822716019294e-10,2,69
2.718382215600346e-10,1,70
2.7183821698466207e-10,2,70
2.718382298503696e-10,1,71
2.718382139939128e-10,2,71
2.718382098705564e-10,1,72
2.7183822264127217e-10,2,72
2.718382172202613e-10,1,73
2.71838223678464e-10,2,73
2.718382326201673e-10,1,74
2.718382157781877e-10,2,74
2.7183821668112483e-10,1,75
2.7183822505129266e-10,2,75
2.7183820297401416e-10,1,76
2.7183821659684506e-10,2,76
2.718382289508206e-10,1,77
2.7183822066599133e-10,2,77
2.718382108775727e-10,1,78
2.718382156866023e-10,2,78
2.7183822285027755e-10,1,79
2.718382203821294e-10,2,79
2.7183820113849377e-10,1,80
2.7183822186094306e-10,2,80
