term,coef,scenario,run
post_g1,-0.02153459361845835,1,1
post_g2,-0.02153701316102642,1,1
post_g3,0.008107720032382311,1,1
post_g4,-0.03155564375450417,1,1
post_g5,0.1797319218737204,1,1
post_g6,-0.1104634013294407,1,1
post_g1,-0.026897424802309125,2,1
post_g2,-0.02186311117914684,2,1
post_g3,0.013193001372726883,2,1
post_g4,-0.03436253108304188,2,1
post_g5,0.19026056267068592,2,1
post_g6,-0.11979255987917767,2,1
post_g1,-0.016792085124903638,1,2
post_g2,-0.01867559844894052,1,2
post_g3,0.012913801398226857,1,2
post_g4,-0.03235500314904125,1,2
post_g5,0.179426195058341,1,2
post_g6,-0.12178832576589288,1,2
post_g1,-0.020617789462765015,2,2
post_g2,-0.020340484341418344,2,2
post_g3,0.012292630009324306,2,2
post_g4,-0.03264099507187751,2,2
post_g5,0.17582688548566883,2,2
post_g6,-0.11398443929007211,2,2
post_g1,-0.019196978249632637,1,3
post_g2,-0.019545530328845016,1,3
post_g3,0.005765999871386405,1,3
post_g4,-0.03157975642309943,1,3
post_g5,0.18313065449353555,1,3
post_g6,-0.11565696280088747,1,3
post_g1,-0.024194744756176834,2,3
post_g2,-0.021369840592000942,2,3
post_g3,0.006285540124038737,2,3
post_g4,-0.035276939131944074,2,3
post_g5,0.1925550658818614,2,3
post_g6,-0.11742034255784148,2,3
post_g1,-0.01828289397223784,1,4
post_g2,-0.018323030623307035,1,4
post_g3,0.009488635700136382,1,4
post_g4,-0.03208292917539872,1,4
post_g5,0.17736137597632395,1,4
post_g6,-0.11517837101374181,1,4
post_g1,-0.022396253188725963,2,4
post_g2,-0.020981012740701098,2,4
post_g3,0.012596125240465375,2,4
post_g4,-0.03544438929381352,2,4
post_g5,0.1958212347455383,2,4
post_g6,-0.12901119626918464,2,4
post_g1,-0.011742748235949329,1,5
post_g2,-0.02088730416208787,1,5
post_g3,0.013541005432639296,1,5
post_g4,-0.03299355160186458,1,5
post_g5,0.17509042623531268,1,5
post_g6,-0.11987801953278676,1,5
post_g1,-0.02048196843573695,2,5
post_g2,-0.0213080764045381,2,5
post_g3,0.01523804828583248,2,5
post_g4,-0.03255412806396846,2,5
post_g5,0.18151207629552657,2,5
post_g6,-0.12189425768477695,2,5
post_g1,-0.021639032266593288,1,6
post_g2,-0.022845498217741973,1,6
post_g3,0.01211492749927097,1,6
post_g4,-0.03072722437342827,1,6
post_g5,0.18146048589823882,1,6
post_g6,-0.11586002654211104,1,6
post_g1,-0.022894430284236756,2,6
post_g2,-0.022917827569254458,2,6
post_g3,0.004932257448470487,2,6
post_g4,-0.03197662327934527,2,6
post_g5,0.1829061653331161,2,6
post_g6,-0.10947674141442044,2,6
post_g1,-0.018946127246897704,1,7
post_g2,-0.019178772467535996,1,7
post_g3,0.011714796472324063,1,7
post_g4,-0.030930718298077184,1,7
post_g5,0.17184870439839828,1,7
post_g6,-0.11173966472340766,1,7
post_g1,-0.020399164796559142,2,7
post_g2,-0.022409388306876263,2,7
post_g3,0.008095852304560865,2,7
post_g4,-0.03531734625944738,2,7
post_g5,0.1897734399055252,2,7
post_g6,-0.11916736533668315,2,7
post_g1,-0.019153317312060315,1,8
post_g2,-0.01970729424242163,1,8
post_g3,0.0144284963305394,1,8
post_g4,-0.032976400049143734,1,8
post_g5,0.18003255644119354,1,8
post_g6,-0.11977675693423036,1,8
post_g1,-0.020638629362248407,2,8
post_g2,-0.0255624837140276,2,8
post_g3,0.007098530864205192,2,8
post_g4,-0.034770810467154925,2,8
post_g5,0.18745920170586472,2,8
post_g6,-0.1129895595898816,2,8
post_g1,-0.014921012163460139,1,9
post_g2,-0.020776257958044726,1,9
post_g3,0.007055921705674758,1,9
post_g4,-0.03278387715580296,1,9
post_g5,0.17696037505309162,1,9
post_g6,-0.11235924393859562,1,9
post_g1,-0.026286122311716953,2,9
post_g2,-0.023909697510613212,2,9
post_g3,0.00817319424230325,2,9
post_g4,-0.03239554631493828,2,9
post_g5,0.19460320345671817,2,9
post_g6,-0.11967052535551626,2,9
post_g1,-0.013573133223904046,1,10
post_g2,-0.02287828959159611,1,10
post_g3,0.010778320665360015,1,10
post_g4,-0.03519977776573115,1,10
post_g5,0.1818580306892682,1,10
post_g6,-0.11798322673720804,1,10
post_g1,-0.02363569700498484,2,10
post_g2,-0.019979630979881494,2,10
post_g3,0.008517704280832995,2,10
post_g4,-0.03217509245911436,2,10
post_g5,0.18554038634877812,2,10
post_g6,-0.11772792469270668,2,10
post_g1,-0.0192353510892539,1,11
post_g2,-0.016606111738767027,1,11
