post_coef,scenario,run
2.7183823268284776e-10,1,1
2.718381996299281e-10,2,1
2.718382309481243e-10,1,2
2.718382074277134e-10,2,2
2.718382094402637e-10,1,3
2.7183816931800704e-10,2,3
2.718382385928084e-10,1,4
2.718381977579853e-10,2,4
2.718382252154053e-10,1,5
2.7183821216432164e-10,2,5
2.7183822732282327e-10,1,6
2.7183821378384864e-10,2,6
2.7183823026372166e-10,1,7
2.7183820143072013e-10,2,7
2.718382352374991e-10,1,8
2.7183821011789004e-10,2,8
2.718382433275108e-10,1,9
2.7183823813773994e-10,2,9
2.7183821701612636e-10,1,10
2.7183820955207203e-10,2,10
2.7183822565586243e-10,1,11
2.718382695863792e-10,2,11
2.7183820806129405e-10,1,12
2.7183822650289537e-10,2,12
2.7183824122093986e-10,1,13
2.718382300129999e-10,2,13
2.7183819643830794e-10,1,14
2.718382012138797e-10,2,14
2.718382221864155e-10,1,15
2.718382437281574e-10,2,15
2.7183820684495473e-10,1,16
2.7183823486480463e-10,2,16
2.718382471704993e-10,1,17
2.7183822365686467e-10,2,17
2.718381954133981e-10,1,18
2.7183823762952017e-10,2,18
2.71838240529761e-10,1,19
2.7183820657051606e-10,2,19
2.7183819916405997e-10,1,20
2.718382033687315e-10,2,20
2.7183821706694834e-10,1,21
2.7183821115465837e-10,2,21
2.7183821342640073e-10,1,22
2.7183820602502684e-10,2,22
2.718382115747867e-10,1,23
2.7183817912326044e-10,2,23
2.7183821736849207e-10,1,24
2.718382313140425e-10,2,24
2.7183821547113827e-10,1,25
2.7183819805614087e-10,2,25
2.718382485831385e-10,1,26
2.7183826154295434e-10,2,26
2.718382231147636e-10,1,27
2.718382034940924e-10,2,27
2.718381827959953e-10,1,28
2.7183823156476427e-10,2,28
2.7183822996556606e-10,1,29
2.718381646559377e-10,2,29
2.718382596523768e-10,1,30
2.718382595913904e-10,2,30
2.7183823534591934e-10,1,31
2.718382361827879e-10,2,31
2.71838209474145e-10,1,32
2.7183821631139495e-10,2,32
2.718382474144448e-10,1,33
2.7183819073099994e-10,2,33
2.7183821489515586e-10,1,34
2.718381981086569e-10,2,34
2.7183821908288676e-10,1,35
2.7183822967418673e-10,2,35
2.7183822369244005e-10,1,36
2.71838212225308e-10,2,36
2.718382306431924e-10,1,37
2.718381990488635e-10,2,37
2.718382199095909e-10,1,38
2.718382015526929e-10,2,38
2.7183826120414116e-10,1,39
2.7183823426171717e-10,2,39
2.7183819967566787e-10,1,40
2.7183824589656173e-10,2,40
2.7183819181859025e-10,1,41
2.7183821700257384e-10,2,41
2.7183823304198973e-10,1,42
2.7183821988248586e-10,2,42
2.7183819807816373e-10,1,43
2.7183823832069905e-10,2,43
2.7183820542871565e-10,1,44
2.718382332181726e-10,2,44
2.718382178089492e-10,1,45
2.7183822470040926e-10,2,45
2.718382122320843e-10,1,46
2.718381965161291e-10,2,46
2.7183822846123555e-10,1,47
2.71838212970697e-10,2,47
2.7183820025842654e-10,1,48
2.7183825698252895e-10,2,48
2.718381965043765e-10,1,49
2.718382575343709e-10,2,49
2.718382344988864e-10,1,50
2.718382337399449e-10,2,50
2.7183825467182307e-10,1,51
2.7183824298954466e-10,2,51
2.7183821945558125e-10,1,52
2.718382092098707e-10,2,52
2.7183821152735287e-10,1,53
2.7183819439695854e-10,2,53
2.7183824915170935e-10,1,54
2.71838244155062e-10,2,54
2.7183821097169925e-10,1,55
2.7183821809355227e-10,2,55
2.7183817400718143e-10,1,56
2.7183819419367063e-10,2,56
2.7183821495614224e-10,1,57
2.7183820669587693e-10,2,57
2.7183824758385136e-10,1,58
2.7183823242534974e-10,2,58
2.7183824071949636e-10,1,59
2.7183822948445135e-10,2,59
2.71838257420445e-10,1,60
2.7183821140368606e-10,2,60
2.718382228780179e-10,1,61
2.7183817057839206e-10,2,61
2.718382158158807e-10,1,62
2.718381735531718e-10,2,62
2.718382216443144e-10,1,63
2.718382009157241e-10,2,63
2.7183822918629575e-10,1,64
2.718381750558082e-10,2,64
2.718382015526929e-10,1,65
2.7183822314186864e-10,2,65
2.718382050831262e-10,1,66
2.7183818939438195e-10,2,66
2.7183822167141944e-10,1,67
2.7183818900305273e-10,2,67
2.718382094944738e-10,1,68
2.7183827335398175e-10,2,68
2.7183827485831227e-10,1,69
2.718382078986637e-10,2,69
2.718382018508485e-10,1,70
2.7183822118352846e-10,2,70
2.71838218086776e-10,1,71
2.718381882237824e-10,2,71
2.7183822928116344e-10,1,72
2.718382107955164e-10,2,72
2.718381995604714e-10,1,73
2.7183821495614224e-10,2,73
2.7183823592190175e-10,1,74
2.7183821029068476e-10,2,74
2.7183822215253416e-10,1,75
2.7183822462587036e-10,2,75
2.718382803199807e-10,1,76
2.718382006717786e-10,2,76
2.718382055845697e-10,1,77
2.7183822937603113e-10,2,77
2.718382405636423e-10,1,78
2.7183815960762133e-10,2,78
2.7183820849836305e-10,1,79
2.7183821174080517e-10,2,79
2.7183821090224255e-10,1,80
2.718382373584696e-10,2,80
2.7183822781071424e-10,1,81
2.7183819610457696e-10,2,81
2.71838198984489e-10,1,82
2.71838158442104e-10,2,82
2.7183820542871565e-10,1,83
2.7183822772092875e-10,2,83
2.7183821190004736e-10,1,84
2.7183822313678644e-10,2,84
2.7183822936925487e-10,1,85
2.7183823223222623e-10,2,85
2.718382125302399e-10,1,86
2.718382112766311e-10,2,86
2.718382095283551e-10,1,87
2.7183820550833674e-10,2,87
2.718382091353318e-10,1,88
2.718382203026142e-10,2,88
2.718382196531517e-10,1,89
2.718382024065021e-10,2,89
2.7183819637478047e-10,1,90
2.7183824405341804e-10,2,90
2.7183824604563953e-10,1,91
2.718382165214591e-10,2,91
2.7183821275385657e-10,1,92
2.718381902769903e-10,2,92
2.718382196724217e-10,1,93
2.7183820288084054e-10,2,93
2.7183826979305524e-10,1,94
2.7183816450347177e-10,2,94
2.71838246289585e-10,1,95
2.7183820546937323e-10,2,95
2.718382385578683e-10,1,96
2.718382109445942e-10,2,96
2.7183820779363163e-10,1,97
2.7183821383805875e-10,2,97
2.718382303450368e-10,1,98
2.718381698668844e-10,2,98
2.7183822336887347e-10,1,99
2.7183818928087954e-10,2,99
2.718382462252105e-10,1,100
2.7183823938457244e-10,2,100
2.7183821818757293e-10,1,101
2.718381974530534e-10,2,101
2.71838250839846e-10,1,102
2.718382548344534e-10,2,102
2.718382341261919e-10,1,103
2.718382324016328e-10,2,103
2.71838204744313e-10,1,104
2.718382333265928e-10,2,104
2.7183823149700163e-10,1,105
2.7183820743448966e-10,2,105
2.718382667691476e-10,1,106
2.718382058285152e-10,2,106
2.7183822878310807e-10,1,107
2.71838255647605e-10,2,107
2.718382544007725e-10,1,108
2.718381995062613e-10,2,108
2.7183822349423434e-10,1,109
2.7183825664371577e-10,2,109
2.7183826577811907e-10,1,110
2.7183821700257384e-10,2,110
2.7183821576929387e-10,1,111
2.7183820665521935e-10,2,111
2.718382443820668e-10,1,112
2.7183823655209426e-10,2,112
2.7183820566588487e-10,1,113
2.718382629591934e-10,2,113
2.718382674111986e-10,1,114
2.7183822226010734e-10,2,114
2.718382274651248e-10,1,115
2.7183824178845194e-10,2,115
2.7183824896620913e-10,1,116
2.718381895519301e-10,2,116
2.718382302027353e-10,1,117
2.7183825100078227e-10,2,117
2.718382071553923e-10,1,118
2.718382282545595e-10,2,118
2.718382323546225e-10,1,119
2.718382091471903e-10,2,119
2.7183821145959023e-10,1,120
2.718381927096689e-10,2,120
2.7183818914196614e-10,1,121
2.7183818304925815e-10,2,121
2.71838231070097e-10,1,122
2.7183819363124076e-10,2,122
2.718382146647629e-10,1,123
2.718382068856123e-10,2,123
2.7183822133938253e-10,1,124
2.7183823785991313e-10,2,124
2.718382451943714e-10,1,125
2.7183824883746013e-10,2,125
2.7183828451591723e-10,1,126
2.718382155253484e-10,2,126
2.718382332859352e-10,1,127
2.718382113579463e-10,2,127
2.718382208040577e-10,1,128
2.71838220837939e-10,2,128
2.7183822421929455e-10,1,129
2.7183821456311895e-10,2,129
2.718382112834074e-10,1,130
2.718382322830482e-10,2,130
2.7183821303845964e-10,1,131
2.718382395810841e-10,2,131
2.7183820728202373e-10,1,132
2.7183820749547604e-10,2,132
2.718382496641643e-10,1,133
2.718382239346915e-10,2,133
2.718382145021326e-10,1,134
2.71838238781485e-10,2,134
2.718381827553377e-10,1,135
2.718382287526149e-10,2,135
2.7183826153617807e-10,1,136
2.7183825281512685e-10,2,136
2.7183820380918865e-10,1,137
2.7183822074307133e-10,2,137
2.718382149832473e-10,1,138
2.7183821035505927e-10,2,138
2.7183819867278086e-10,1,139
2.7183819880830613e-10,2,139
2.7183823989956847e-10,1,140
2.718382556653927e-10,2,140
2.7183822548645584e-10,1,141
2.7183822293180447e-10,2,141
2.7183821030084916e-10,1,142
2.7183819867278086e-10,2,142
2.7183825711127796e-10,1,143
2.718382132485238e-10,2,143
2.7183819521011017e-10,1,144
2.7183822721440305e-10,2,144
2.718382018305197e-10,1,145
2.7183821225241307e-10,2,145
2.7183820180341463e-10,1,146
2.718381807292349e-10,2,146
2.7183821793092195e-10,1,147
2.718381958538552e-10,2,147
2.7183821770730525e-10,1,148
2.7183821357378447e-10,2,148
2.7183822056604145e-10,1,149
2.718382066509842e-10,2,149
2.718381804649606e-10,1,150
2.718382668386043e-10,2,150
2.7183823733136457e-10,1,151
2.7183821634188814e-10,2,151
2.71838237419456e-10,1,152
2.7183822546612705e-10,2,152
2.7183823456664903e-10,1,153
2.71838228910163e-10,2,153
2.71838222199968e-10,1,154
2.7183822148168406e-10,2,154
2.7183820276564406e-10,1,155
2.718382117441933e-10,2,155
2.7183823493934353e-10,1,156
2.718382412836203e-10,2,156
2.718382303499602e-10,1,157
2.7183822572362506e-10,2,157
2.7183820968420917e-10,1,158
2.7183820297062603e-10,2,158
2.718382375075474e-10,1,159
2.7183819683641343e-10,2,159
2.718381963857919e-10,1,160
2.718382538497776e-10,2,160
2.718381925673674e-10,1,161
2.718382100501274e-10,2,161
2.7183817361415815e-10,1,162
2.718382075564624e-10,2,162
2.7183823859344366e-10,1,163
2.7183828183786375e-10,2,163
2.7183823260830886e-10,1,164
2.718382252289578e-10,2,164
2.7183824245421984e-10,1,165
2.718382259743468e-10,2,165
2.718381979409444e-10,1,166
2.718381909275116e-10,2,166
2.7183817848629166e-10,1,167
2.718381737361309e-10,2,167
2.7183823905084145e-10,1,168
2.718382378954885e-10,2,168
2.718381965789154e-10,1,169
2.718381963349699e-10,2,169
2.7183821800546085e-10,1,170
2.718382025759087e-10,2,170
2.718382407533777e-10,1,171
2.718382012884186e-10,2,171
2.718382171042178e-10,1,172
2.718382364809435e-10,2,172
2.718382000983373e-10,1,173
2.718382673671529e-10,2,173
2.718382484512131e-10,1,174
2.7183823625055053e-10,2,174
2.7183822810886984e-10,1,175
2.7183824069916757e-10,2,175
2.7183820235906824e-10,1,176
2.7183820288084054e-10,2,176
2.7183822027550915e-10,1,177
2.7183823566779186e-10,2,177
2.7183823126660867e-10,1,178
2.718382033009689e-10,2,178
2.7183822624539736e-10,1,179
2.718382182358538e-10,2,179
2.718382167450758e-10,1,180
2.718382179376982e-10,2,180
2.718382531768099e-10,1,181
2.718382235213394e-10,2,181
2.7183820538805806e-10,1,182
2.7183824171476007e-10,2,182
2.71838192685952e-10,1,183
2.718382184899637e-10,2,183
2.7183821539321124e-10,1,184
2.718382113172887e-10,2,184
2.7183822537125936e-10,1,185
2.7183822631316e-10,2,185
2.7183825400097297e-10,1,186
2.7183823277771545e-10,2,186
2.718382272415081e-10,1,187
2.718382355322666e-10,2,187
2.718382179139813e-10,1,188
2.7183819988573204e-10,2,188
2.7183821478673565e-10,1,189
2.7183820489677895e-10,2,189
2.7183822528316793e-10,1,190
2.7183820061079224e-10,2,190
2.718382259607943e-10,1,191
2.7183822554066595e-10,2,191
2.7183818615702203e-10,1,192
2.718382200451162e-10,2,192
2.7183825468706966e-10,1,193
2.718382485867384e-10,2,193
2.7183819961806963e-10,1,194
2.718382193878186e-10,2,194
2.718382249587543e-10,1,195
2.718381940716979e-10,2,195
2.718382101246663e-10,1,196
2.7183818734286816e-10,2,196
2.718382669097551e-10,1,197
